sample_id,species,position,var_type,gene,region_type,ref_allele,alt_allele
s1,Demo_alpha,150,snp,matK,CDS,A,G
s2,Demo_alpha,150,snp,matK,CDS,A,G
s3,Demo_alpha,150,snp,matK,CDS,A,G
s4,Demo_alpha,150,snp,matK,CDS,A,G
s1,Demo_alpha,180,snp,matK,CDS,A,G
s2,Demo_alpha,180,snp,matK,CDS,A,G
s3,Demo_alpha,180,snp,matK,CDS,A,G
s4,Demo_alpha,180,snp,matK,CDS,A,G
s1,Demo_alpha,210,INDEL,matK,CDS,AT,A
s2,Demo_alpha,210,INDEL,matK,CDS,AT,A
s3,Demo_alpha,210,INDEL,matK,CDS,AT,A
s1,Demo_alpha,620,snp,rbcL,CDS,A,G
s2,Demo_alpha,620,snp,rbcL,CDS,A,G
s3,Demo_alpha,620,snp,rbcL,CDS,A,G
s4,Demo_alpha,620,snp,rbcL,CDS,A,G
s1,Demo_alpha,700,snp,rbcL,CDS,A,G
s2,Demo_alpha,700,snp,rbcL,CDS,A,G
s1,Demo_alpha,850,INDEL,rbcL,CDS,AT,A
s2,Demo_alpha,850,INDEL,rbcL,CDS,AT,A
s3,Demo_alpha,850,INDEL,rbcL,CDS,AT,A
s4,Demo_alpha,850,INDEL,rbcL,CDS,AT,A
s1,Demo_alpha,1250,snp,psbA,CDS,A,G
s2,Demo_alpha,1250,snp,psbA,CDS,A,G
s3,Demo_alpha,1250,snp,psbA,CDS,A,G
s4,Demo_alpha,1250,snp,psbA,CDS,A,G
s1,Demo_alpha,1400,complex,psbA,CDS,ATG,C
s2,Demo_alpha,1400,complex,psbA,CDS,ATG,C
s3,Demo_alpha,1400,complex,psbA,CDS,ATG,C
s1,Demo_alpha,450,snp,IGS_matK-rbcL,IGS,A,G
s2,Demo_alpha,450,snp,IGS_matK-rbcL,IGS,A,G
s3,Demo_alpha,450,snp,IGS_matK-rbcL,IGS,A,G
s4,Demo_alpha,450,snp,IGS_matK-rbcL,IGS,A,G
s1,Demo_alpha,460,INDEL,IGS_matK-rbcL,IGS,AT,A
s2,Demo_alpha,460,INDEL,IGS_matK-rbcL,IGS,AT,A
s3,Demo_alpha,460,INDEL,IGS_matK-rbcL,IGS,AT,A
s1,Demo_alpha,1150,snp,IGS_rbcL-psbA,IGS,A,G
s2,Demo_alpha,1150,snp,IGS_rbcL-psbA,IGS,A,G
s3,Demo_alpha,1150,snp,IGS_rbcL-psbA,IGS,A,G
s4,Demo_alpha,1150,snp,IGS_rbcL-psbA,IGS,A,G
s1,Demo_beta,150,snp,matK,CDS,A,G
s2,Demo_beta,150,snp,matK,CDS,A,G
s3,Demo_beta,150,snp,matK,CDS,A,G
s4,Demo_beta,150,snp,matK,CDS,A,G
s1,Demo_beta,180,snp,matK,CDS,A,G
s2,Demo_beta,180,snp,matK,CDS,A,G
s3,Demo_beta,180,snp,matK,CDS,A,G
s4,Demo_beta,180,snp,matK,CDS,A,G
s1,Demo_beta,210,INDEL,matK,CDS,AT,A
s2,Demo_beta,210,INDEL,matK,CDS,AT,A
s3,Demo_beta,210,INDEL,matK,CDS,AT,A
s1,Demo_beta,620,snp,rbcL,CDS,A,G
s2,Demo_beta,620,snp,rbcL,CDS,A,G
s3,Demo_beta,620,snp,rbcL,CDS,A,G
s4,Demo_beta,620,snp,rbcL,CDS,A,G
s1,Demo_beta,700,snp,rbcL,CDS,A,G
s2,Demo_beta,700,snp,rbcL,CDS,A,G
s1,Demo_beta,850,INDEL,rbcL,CDS,AT,A
s2,Demo_beta,850,INDEL,rbcL,CDS,AT,A
s3,Demo_beta,850,INDEL,rbcL,CDS,AT,A
s4,Demo_beta,850,INDEL,rbcL,CDS,AT,A
s1,Demo_beta,1250,snp,psbA,CDS,A,G
s2,Demo_beta,1250,snp,psbA,CDS,A,G
s3,Demo_beta,1250,snp,psbA,CDS,A,G
s4,Demo_beta,1250,snp,psbA,CDS,A,G
s1,Demo_beta,1400,complex,psbA,CDS,ATG,C
s2,Demo_beta,1400,complex,psbA,CDS,ATG,C
s3,Demo_beta,1400,complex,psbA,CDS,ATG,C
s1,Demo_beta,450,snp,IGS_matK-rbcL,IGS,A,G
s2,Demo_beta,450,snp,IGS_matK-rbcL,IGS,A,G
s3,Demo_beta,450,snp,IGS_matK-rbcL,IGS,A,G
s4,Demo_beta,450,snp,IGS_matK-rbcL,IGS,A,G
s1,Demo_beta,460,INDEL,IGS_matK-rbcL,IGS,AT,A
s2,Demo_beta,460,INDEL,IGS_matK-rbcL,IGS,AT,A
s3,Demo_beta,460,INDEL,IGS_matK-rbcL,IGS,AT,A
s1,Demo_beta,1150,snp,IGS_rbcL-psbA,IGS,A,G
s2,Demo_beta,1150,snp,IGS_rbcL-psbA,IGS,A,G
s3,Demo_beta,1150,snp,IGS_rbcL-psbA,IGS,A,G
s4,Demo_beta,1150,snp,IGS_rbcL-psbA,IGS,A,G
