Species,Type,Gene,Minimum,Maximum,Length,Intervals
Demo_alpha,gene,matK,100,400,301,1
Demo_alpha,CDS,matK,100,400,301,1
Demo_alpha,exon,matK,100,400,301,1
Demo_alpha,gene,rbcL,500,1100,601,1
Demo_alpha,CDS,rbcL,500,1100,601,1
Demo_alpha,exon,rbcL,500,1100,601,1
Demo_alpha,gene,psbA,1200,1500,301,1
Demo_alpha,CDS,psbA,1200,1500,301,1
Demo_alpha,exon,psbA,1200,1500,301,1
Demo_beta,gene,matK,100,400,301,1
Demo_beta,CDS,matK,100,400,301,1
Demo_beta,exon,matK,100,400,301,1
Demo_beta,gene,rbcL,500,1100,601,1
Demo_beta,CDS,rbcL,500,1100,601,1
Demo_beta,exon,rbcL,500,1100,601,1
Demo_beta,gene,psbA,1200,1500,301,1
Demo_beta,CDS,psbA,1200,1500,301,1
Demo_beta,exon,psbA,1200,1500,301,1
